remote ignore0 ignore1 timestamp request status size origin agent
10.0.5.77 - - [21/Feb/2017:02:46:59+0000] "GET / HTTP/1.1" 301 224 "-" "spray-can/1.3.3"
10.0.7.168 - - [21/Feb/2017:02:47:23+0000] "GET / HTTP/1.0" 200 8361 "-" "-"
10.0.5.77 - - [21/Feb/2017:02:47:59+0000] "GET / HTTP/1.1" 301 224 "-" "spray-can/1.3.3"
10.0.7.168 - - [21/Feb/2017:02:48:24+0000] "GET / HTTP/1.0" 200 8361 "-" "-"
10.0.5.77 - - [21/Feb/2017:02:48:59+0000] "GET / HTTP/1.1" 301 224 "-" "spray-can/1.3.3"
10.0.7.168 - - [21/Feb/2017:02:49:22+0000] "GET / HTTP/1.0" 200 8361 "-" "-"
10.0.5.77 - - [21/Feb/2017:02:49:59+0000] "GET / HTTP/1.1" 301 224 "-" "spray-can/1.3.3"
10.0.7.168 - - [21/Feb/2017:02:50:10+0000] "GET / HTTP/1.1" 200 5389 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8"
10.0.7.168 - - [21/Feb/2017:02:50:22+0000] "GET / HTTP/1.0" 200 8361 "-" "-"
10.0.5.77 - - [21/Feb/2017:02:50:59+0000] "GET / HTTP/1.1" 301 224 "-" "spray-can/1.3.3"
10.0.7.168 - - [21/Feb/2017:02:51:17+0000] "GET /2017/02/21/simple-post/ HTTP/1.1" 200 6026 "http://35.164.10.198:10102/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8"
10.0.7.168 - - [21/Feb/2017:02:51:19+0000] "GET /2017/02/21/hello-world/ HTTP/1.1" 200 6523 "http://35.164.10.198:10102/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8"
10.0.7.168 - - [21/Feb/2017:02:51:20+0000] "GET / HTTP/1.0" 200 8361 "-" "-"
